linhaPlanilha,numeroPlanilha,imovelId,contratoId,status,mensagem
9,2,2,3,OK_ATUALIZADO,
10,3,4,1,OK_ATUALIZADO,
11,4,3,2,OK_ATUALIZADO,
12,5,6,5,OK_ATUALIZADO,
13,6,7,6,OK_ATUALIZADO,
14,7,5,4,OK_ATUALIZADO,
17,10,9,8,OK_ATUALIZADO,
15,8,8,7,OK_ATUALIZADO,
16,9,10,9,OK_ATUALIZADO,
19,12,12,12,OK_ATUALIZADO,
20,13,13,11,OK_ATUALIZADO,
18,11,11,10,OK_ATUALIZADO,
22,15,16,15,OK_ATUALIZADO,
23,16,15,14,OK_ATUALIZADO,
21,14,14,13,OK_ATUALIZADO,
26,19,17,16,OK_ATUALIZADO,
25,18,19,17,OK_ATUALIZADO,
24,17,18,18,OK_ATUALIZADO,
28,21,20,19,OK_ATUALIZADO,
27,20,21,21,OK_ATUALIZADO,
29,22,22,20,OK_ATUALIZADO,
31,24,25,23,OK_ATUALIZADO,
30,23,23,22,OK_ATUALIZADO,
32,25,24,24,OK_ATUALIZADO,
35,28,27,26,OK_ATUALIZADO,
33,26,26,27,OK_ATUALIZADO,
34,27,28,25,OK_ATUALIZADO,
37,30,31,30,OK_ATUALIZADO,
36,29,30,29,OK_ATUALIZADO,
38,31,29,28,OK_ATUALIZADO,
39,32,33,32,OK_ATUALIZADO,
41,34,1,63,OK_ATUALIZADO,
40,33,32,31,OK_ATUALIZADO,
44,37,34,33,OK_ATUALIZADO,
43,36,36,35,OK_ATUALIZADO,
42,35,35,34,OK_ATUALIZADO,
45,38,37,36,OK_ATUALIZADO,
46,39,38,37,OK_ATUALIZADO,
47,40,39,38,OK_ATUALIZADO,
49,42,40,39,OK_ATUALIZADO,
48,41,41,40,OK_ATUALIZADO,
50,43,42,41,OK_ATUALIZADO,
52,45,44,44,OK_ATUALIZADO,
51,44,43,42,OK_ATUALIZADO,
53,46,45,43,OK_ATUALIZADO,
55,48,46,45,OK_ATUALIZADO,
54,47,47,46,OK_ATUALIZADO,
56,49,48,47,OK_ATUALIZADO,
57,50,51,49,OK_ATUALIZADO,
58,51,49,48,OK_ATUALIZADO,
59,52,50,50,OK_ATUALIZADO,
60,53,53,52,OK_ATUALIZADO,
61,54,52,51,OK_ATUALIZADO,
62,55,54,53,OK_ATUALIZADO,
65,58,55,56,OK_ATUALIZADO,
64,57,56,55,OK_ATUALIZADO,
63,56,57,54,OK_ATUALIZADO,
68,61,59,58,OK_ATUALIZADO,
66,59,60,59,OK_ATUALIZADO,
67,60,58,57,OK_ATUALIZADO,
70,63,61,60,OK_ATUALIZADO,
71,64,63,62,OK_ATUALIZADO,
69,62,62,61,OK_ATUALIZADO,
72,65,64,64,OK_ATUALIZADO,
