elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
15110,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-11-04,273367,,,5+1,1831.12
15111,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2025-11-03,273359,,,3+1,3914.26
15167,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_3,2025-11-05,273382,,,3+1,4443.9
15189,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-11-10,273423,,,5+1,13810.51
15222,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-11-13,273453,,,1,0
15223,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-11-13,273481,,,1,0
15224,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-11-13,273448,,,1,0
15324,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-11-19,273533,,,1,0
15452,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-11-25,273587,,,5+1,-3078
15453,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-11-26,273626,,,5+1,11.17
15488,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-08,273811,,,1,0
15489,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-08,273815,,,1,0
15644,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-23,274027,,,1,0
15645,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-23,274026,,,1,0
15654,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-12-11,273897,,,1,0
15659,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-10,273857,,,1,0
15660,SEM_CANDIDATO,ambiguo_99pay_2,INTERBANCARIO_99PAY_SAME_BANK,2025-12-10,273856,,,1,0
15662,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-11-12,273446,,,1,0
15674,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-12-24,274045,,,1,0
15676,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2025-12-12,273874,,,1,0
15677,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-12-26,274062,,,5+1,461.07
15678,SEM_CANDIDATO,sem_candidato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2025-12-26,274055,,,5+1,-3078
