elo,status,motivo,subtipoPlan,dataMax,itauId,pay99Id,idsDesparear,bancosSys,somaPlan
5000,IGNORAR,nao_itau_only,,2018-01-04,,,,6+1,0
5001,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-08,,,,5+1,-260
5002,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-10,,,,5+1,-1495
5003,IGNORAR,nao_itau_only,,2018-01-10,,,,6+1,0
5004,IGNORAR,nao_itau_only,,2018-01-10,,,,2+1,0
5005,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-12,,,,5+1,-856.63
5006,IGNORAR,nao_itau_only,,2018-01-12,,,,4,0
5007,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_SAME_BANK,2018-01-15,,,,1,0
5008,IGNORAR,nao_itau_only,,2018-01-22,,,,4+1,0
5009,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-23,,,,5+1,-715.57
5010,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-30,,,,5+1,-68.2
5011,IGNORAR,nao_itau_only,,2018-01-30,,,,6+1,0
5012,IGNORAR,nao_itau_only,,2018-01-30,,,,6+1,0
5013,IGNORAR,nao_itau_only,,2018-01-30,,,,6+1,0
5014,IGNORAR,nao_itau_only,,2018-01-30,,,,6,0
5015,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-01-31,,,,5+1,-1889.67
5016,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-02-06,,,,5+1,-2119.18
5017,IGNORAR,nao_itau_only,,2018-02-06,,,,6+1,0
5018,IGNORAR,nao_itau_only,,2018-02-07,,,,6+1,0
5019,IGNORAR,nao_itau_only,,2018-02-09,,,,4,0
5020,IGNORAR,nao_itau_only,,2018-02-16,,,,6+1,0
5021,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-02-21,,,,5+1,-88.49
5022,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-02-27,,,,5+1,-800
5023,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-02-28,,,,5+1,-165.98
5024,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-02-28,,,,5+1,-630
5025,IGNORAR,nao_itau_only,,2018-02-28,,,,6+1,0
5026,IGNORAR,nao_itau_only,,2018-02-28,,,,4+1,0
5027,IGNORAR,nao_itau_only,,2018-03-01,,,,6+1,0
5028,IGNORAR,nao_itau_only,,2018-03-02,,,,4+1,0
5029,IGNORAR,nao_itau_only,,2018-03-02,,,,6+1,0
5030,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-03-07,,,,5+1,-300
5031,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-03-09,,,,5+1,-526.9
5032,IGNORAR,antes_extrato_99pay,INTERBANCARIO_99PAY_DESTINO_5,2018-03-09,,,,5+1,-85
5033,IGNORAR,nao_itau_only,,2018-03-13,,,,4,0
5034,IGNORAR,nao_itau_only,,2018-03-16,,,,6+1,0
5035,IGNORAR,nao_itau_only,,2018-03-19,,,,6+1,0
5036,IGNORAR,nao_itau_only,,2018-03-20,,,,,0
5037,IGNORAR,nao_itau_only,,2018-03-19,,,,2+1,0
5038,IGNORAR,nao_itau_only,,2018-03-19,,,,2+6,0
5039,IGNORAR,nao_itau_only,,2018-03-20,,,,6+1,0
